#1000/T, Tig (ms)
1.1758269720101782, 12.059205092279322
1.1770992366412214, 12.36823397292985
1.1994910941475827, 17.448505784296263
1.200763358778626, 18.169403066998388
1.2282442748091604, 26.826957952797287
1.2552162849872774, 39.409814947923984
1.2860050890585244, 54.20831825715534
1.324936386768448, 66.70767806717151
1.373791348600509, 76.0884402156659
1.4012722646310434, 89.91789964660124
1.451399491094148, 121.20386904660066
1.4521628498727739, 129.4457845642096
1.4857506361323158, 227.00946022783944
1.486259541984733, 219.10855798922262
1.4882951653944023, 192.09518695190573

