#Data_structure:,,,,,,,
Sr,a,Ox,bg1,T,P,Tig,sigma
PHI_0.5_P_10,0.0187,0.2057,0.7734,1292.51700680272,10,0.05283133271436,0.05304
PHI_0.5_P_10,0.0187,0.2057,0.7734,1205.07399577167,10,0.139501318782496,0.05304
PHI_0.5_P_10,0.0187,0.2057,0.7734,1158.53658536585,10,0.223561796240478,0.05304
PHI_0.5_P_10,0.0187,0.2057,0.7734,1096.15384615385,10,0.659594625741874,0.05304
PHI_0.5_P_10,0.0187,0.2057,0.7734,1043.95604395604,10,1.31972039306137,0.05304
PHI_0.5_P_20,0.0187,0.2057,0.7734,1217.94871794872,20,0.045988643793945,0.014
PHI_0.5_P_20,0.0187,0.2057,0.7734,1160.89613034623,20,0.105705208100099,0.014
PHI_0.5_P_20,0.0187,0.2057,0.7734,1119.84282907662,20,0.200080525455621,0.014
PHI_0.5_P_20,0.0187,0.2057,0.7734,1023.33931777379,20,0.972639285994484,0.014
PHI_0.5_P_20,0.0187,0.2057,0.7734,1061.45251396648,20,0.528313327143598,0.014
PHI_0.5_P_40,0.0187,0.2057,0.7734,1168.03278688525,40,0.047282321880432,0.014
PHI_0.5_P_40,0.0187,0.2057,0.7734,1133.20079522863,40,0.077905167392224,0.014
PHI_0.5_P_40,0.0187,0.2057,0.7734,1071.42857142857,40,0.155873068275443,0.014
PHI_0.5_P_40,0.0187,0.2057,0.7734,1019.67799642218,40,0.499798767382689,0.014
PHI_0.5_P_40,0.0187,0.2057,0.7734,966.101694915254,40,1.39501318782496,0.014
PHI_1_P_10,0.0368,0.2024,0.761,1353.59116022099,10,4.45295850994266E-05,1.85E-05
PHI_1_P_10,0.0368,0.2024,0.761,1269.43005181347,10,0.000106420924406,1.85E-05
PHI_1_P_10,0.0368,0.2024,0.761,1250,10,0.000113254131515,1.85E-05
PHI_1_P_10,0.0368,0.2024,0.761,1147.54098360656,10,0.000336532511825,1.85E-05
PHI_1_P_10,0.0368,0.2024,0.761,1169.45107398568,10,0.000306539529506,1.85E-05
PHI_1_P_10,0.0368,0.2024,0.761,1079.29515418502,10,0.000829695852083,1.85E-05
PHI_1_P_10,0.0368,0.2024,0.761,1053.76344086022,10,0.001,1.85E-05
PHI_1_P_20,0.0368,0.2024,0.761,1331.52173913044,20,2.79219629152487E-05,4.80E-05
PHI_1_P_20,0.0368,0.2024,0.761,1231.15577889447,20,9.39664831495473E-05,4.80E-05
PHI_1_P_20,0.0368,0.2024,0.761,1206.89655172414,20,0.000120526093687,4.80E-05
PHI_1_P_20,0.0368,0.2024,0.761,1108.59728506787,20,0.000336532511825,4.80E-05
PHI_1_P_20,0.0368,0.2024,0.761,1035.94080338266,20,0.000855918537491,4.80E-05
PHI_1_P_20,0.0368,0.2024,0.761,991.902834008097,20,0.001365007806546,4.80E-05
PHI_1_P_40,0.0368,0.2024,0.761,1240.50632911392,40,4.31653369259591E-05,1.84E-04
PHI_1_P_40,0.0368,0.2024,0.761,1161.13744075829,40,0.000103160517838,1.84E-04
PHI_1_P_40,0.0368,0.2024,0.761,1113.63636363636,40,0.000186324631193,1.84E-04
PHI_1_P_40,0.0368,0.2024,0.761,1056.03448275862,40,0.000358141010013,1.84E-04
PHI_1_P_40,0.0368,0.2024,0.761,1008.2304526749,40,0.00060783231283,1.84E-04
PHI_1_P_40,0.0368,0.2024,0.761,955.165692007797,40,0.001168335485443,1.84E-04
PHI_2_P_10,0.071,0.1953,0.73414,1328.32080200501,10,0.047388796097177,0.05
PHI_2_P_10,0.071,0.1953,0.73414,1238.31775700935,10,0.12433534237776,0.05
PHI_2_P_10,0.071,0.1953,0.73414,1199.09502262443,10,0.198288394912707,0.05
PHI_2_P_10,0.071,0.1953,0.73414,1147.18614718615,10,0.316227766016839,0.05
PHI_2_P_10,0.071,0.1953,0.73414,1101.8711018711,10,0.571158647812643,0.05
PHI_2_P_10,0.071,0.1953,0.73414,1047.43083003953,10,0.969363106114252,0.05
PHI_2_P_20,0.071,0.1953,0.73414,1280.19323671498,20,0.047388796097177,0.018
PHI_2_P_20,0.071,0.1953,0.73414,1226.85185185185,20,0.077963601304053,0.018
PHI_2_P_20,0.071,0.1953,0.73414,1169.97792494481,20,0.149856531240376,0.018
PHI_2_P_20,0.071,0.1953,0.73414,1122.8813559322,20,0.238989256623105,0.018
PHI_2_P_20,0.071,0.1953,0.73414,1068.54838709677,20,0.445295850994266,0.018
PHI_2_P_20,0.071,0.1953,0.73414,1017.27447216891,20,0.88296999554941,0.018
PHI_2_P_40,0.071,0.1953,0.73414,1185.68232662192,40,0.036946012051993,0.03
PHI_2_P_40,0.071,0.1953,0.73414,1127.65957446809,40,0.093966483149547,0.03
PHI_2_P_40,0.071,0.1953,0.73414,1068.54838709677,40,0.28804441533963,0.03
PHI_2_P_40,0.071,0.1953,0.73414,1025.14506769826,40,0.55366012092768,0.03
PHI_2_P_40,0.071,0.1953,0.73414,990.654205607477,40,0.88296999554941,0.03
