#Data_structure:,,,,,,,,,,
Sr,a,Ox,bg1,bg2,Ti,T,Pi,P,RCM,sigma
RCM_phi_1_mix_5_15,0.02,0.13,0.5949,0.2549,333,935,430,15,57.6,5.76
RCM_phi_1_mix_5_15,0.02,0.13,0.5949,0.2549,343,958,430,15,29.3,2.93
RCM_phi_1_mix_5_15,0.02,0.13,0.5949,0.2549,353,982,430,15,17.5,1.75
RCM_phi_1_mix_5_30,0.02,0.13,0.5949,0.2549,308,884,850,30,26.30,2.63
RCM_phi_1_mix_5_30,0.02,0.13,0.5949,0.2549,318,909,850,30,14.50,1.45
RCM_phi_1_mix_5_30,0.02,0.13,0.5949,0.2549,323,918,850,30,9.90,0.99
RCM_phi_1_mix_4_20,0.02,0.130031948882,0.69697380191676,0.15299424920124,313,921,600,20,24.30,2.43
RCM_phi_1_mix_4_20,0.02,0.130031948882,0.69697380191676,0.15299424920124,320,940,600,20,17.70,1.77
RCM_phi_1_mix_4_20,0.02,0.130031948882,0.69697380191676,0.15299424920124,328,959,600,20,10.3,1.03
RCM_phi_0_5_mix_3_40,0.01,0.130031948882,0.429984025559,0.429984025559,309,886,1150,40,48.80,4.88
RCM_phi_0_5_mix_3_40,0.01,0.130031948882,0.429984025559,0.429984025559,318,909,1150,40,20.00,2
RCM_phi_0_5_mix_3_40,0.01,0.130031948882,0.429984025559,0.429984025559,328,936,1150,40,7.20,0.72
RCM_phi_0_5_mix_3_30,0.01,0.130031948882,0.429984025559,0.429984025559,318,914,845,30,43.80,4.38
RCM_phi_0_5_mix_3_30,0.01,0.130031948882,0.429984025559,0.429984025559,328,936,845,30,19.60,1.96
RCM_phi_0_5_mix_3_30,0.01,0.130031948882,0.429984025559,0.429984025559,338,964,845,30,7.00,0.7
RCM_phi_0_5_mix_1_10,0.01,0.130031948882,0.7309728434503,0.1289952076677,313,1016,290,10,77.60,7.76
RCM_phi_0_5_mix_1_10,0.01,0.130031948882,0.7309728434503,0.1289952076677,320,1037,290,10,41.20,4.12
RCM_phi_0_5_mix_1_10,0.01,0.130031948882,0.7309728434503,0.1289952076677,328,1054,290,10,23.50,2.35
RCM_phi_0_5_mix_1_10,0.01,0.130031948882,0.7309728434503,0.1289952076677,338,1083,290,10,12.40,1.24
RCM_phi_0_5_mix_1_15,0.01,0.130031948882,0.7309728434503,0.1289952076677,313,1024,400,15,13.80,1.38
RCM_phi_0_5_mix_1_15,0.01,0.130031948882,0.7309728434503,0.1289952076677,320,1051,400,15,10.10,1.01
RCM_phi_0_5_mix_1_15,0.01,0.130031948882,0.7309728434503,0.1289952076677,328,1066,400,15,6.60,0.66
RCM_phi_0_5_mix_2_15,0.01,0.130031948882,0.5589792332267,0.3009888178913,323,966,430,15,88.3,8.83
RCM_phi_0_5_mix_2_15,0.01,0.130031948882,0.5589792332267,0.3009888178913,330,986,430,15,46.2,4.62
RCM_phi_0_5_mix_2_15,0.01,0.130031948882,0.5589792332267,0.3009888178913,338,1004,430,15,27.3,2.73
RCM_phi_1_5_mix_6_40,0.0100000005,0.0433439851278658,0.378662405748854,0.56799360862328,313,890,1100,40,71.40,7.14
RCM_phi_1_5_mix_6_40,0.0100000005,0.0433439851278658,0.378662405748854,0.56799360862328,323,914,1100,40,36.40,3.64
RCM_phi_1_5_mix_6_40,0.0100000005,0.0433439851278658,0.378662405748854,0.56799360862328,330,931,1100,40,24.00,2.4
RCM_phi_1_5_mix_6_40,0.0100000005,0.0433439851278658,0.378662405748854,0.56799360862328,338,948,1100,40,17.80,1.78
RCM_phi_1_5_mix_7_30,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,308,919,830,30,73.50,7.35
RCM_phi_1_5_mix_7_30,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,318,942,840,30,41.00,4.1
RCM_phi_1_5_mix_7_30,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,328,969,840,30,27.3,2.73
RCM_phi_1_5_mix_7_30,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,338,995,840,30,20.9,2.09
RCM_phi_1_5_mix_7_20,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,338,992,570,20,77.10,7.71
RCM_phi_1_5_mix_7_20,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,348,1012,570,20,58.00,5.8
RCM_phi_1_5_mix_7_20,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,358,1050,585,20,37.40,3.74
RCM_phi_1_5_mix_7_20,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,368,1073,585,20,27.9,2.79
