#Data_structure,,,,,,,,
Sr,a,Ox,bg1,phi,T,P,Fls,sigma
1a,1,1,3.76,0.699767981438515,403,1,37.4785100286533,3.74785100286533
1a,1,1,3.76,0.79907192575406,403,1,47.2779369627507,4.72779369627507
1a,1,1,3.76,0.899767981438515,403,1,54.1547277936963,5.41547277936963
1a,1,1,3.76,0.99907192575406,403,1,57.8223495702006,5.78223495702006
1a,1,1,3.76,1.09930394431555,403,1,58.6819484240688,5.86819484240688
1a,1,1,3.76,1.20046403712297,403,1,54.0974212034384,5.40974212034384
1a,1,1,3.76,1.30069605568445,403,1,45.9598853868195,4.59598853868195
1a,1,1,3.76,1.40046403712297,403,1,36.5042979942693,3.65042979942693
1a,1,1,3.76,1.50069605568445,403,1,25.5014326647565,2.55014326647565
