"Sr","a","Ox","bg1","bg2","T","P","Tig","sigma"
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,597.065625220154,14.543846544,140850,14085
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,599.392523184718,14.61957878,122200,12220
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,600.068717814693,14.60004494,116900,11690
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,601.252131968181,14.64243194,113400,11340
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,623.121490922053,14.6042319,73700,7370
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,624.834720956045,14.71836238,66650,6665
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,626.905939932534,14.99288288,64400,6440
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,627.128718376706,14.87275454,62300,6230
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,659.398529949768,14.7961475,29250,2925
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,660.736369636868,14.93350128,27700,2770
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,661.515335240741,14.91237146,28200,2820
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,694.578785376706,15.01270726,10200,1020
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,695.980732181493,15.16970234,9750,975
"LTC_phi0_5_p15",0.017206,0.20647,0.77633,0,696.013715041707,15.08840288,9750,975
"LTC_phi2_0_p15",0.065445,0.19634,0,0.73822,559.930250563952,14.404876,184450,18445
"LTC_phi2_0_p15",0.065445,0.19634,0,0.73822,560.749348384312,14.521508,168400,16840
"LTC_phi2_0_p15",0.065445,0.19634,0,0.73822,573.898746494422,14.5607,125050,12505
"LTC_phi2_0_p15",0.065445,0.19634,0,0.73822,575.280368963156,14.5942376,104800,10480
"LTC_phi2_0_p15",0.065445,0.19634,0,0.73822,575.930595091771,14.2138,94600,9460
"LTC_phi2_0_p15",0.065445,0.19634,0,0.73822,579.465520325683,14.3447,91850,9185
"LTC_phi2_0_p15",0.065445,0.19634,0,0.73822,579.564537817275,14.071976,54500,5450
"LTC_phi2_0_p15",0.065445,0.19634,0,0.73822,591.781515902579,14.9689,42900,4290
"LTC_phi2_0_p15",0.065445,0.19634,0,0.73822,594.850348799398,14.9895,47200,4720
"LTC_phi2_0_p15",0.065445,0.19634,0,0.73822,599.900367999202,14.1074,63150,6315
"LTC_phi2_0_p15",0.065445,0.19634,0,0.73822,613.532156616643,14.874,26100,2610
"LTC_phi0_5_p20",0.017206,0.20647,0,0.77633,909.262048192771,20,385.634555332982,38.5634555332982
"LTC_phi0_5_p20",0.017206,0.20647,0,0.77633,884.831460674157,20,461.607536191323,46.1607536191323
"LTC_phi0_5_p20",0.017206,0.20647,0,0.77633,862.089481199429,20,458.754029864875,45.8754029864875
"LTC_phi0_5_p20",0.017206,0.20647,0,0.77633,813.313875168388,20,673.822922485806,67.3822922485806
"LTC_phi0_5_p20",0.017206,0.20647,0,0.77633,800.022084805654,20,703.714935339315,70.3714935339315
"LTC_phi0_5_p20",0.017206,0.20647,0,0.77633,781.384814495254,20,847.591737647264,84.7591737647264
"LTC_phi0_5_p20",0.017206,0.20647,0,0.77633,757.528230865747,20,1199.48442739307,119.948442739307
"LTC_phi1_0_p10",0.03383,0.20298,0,0.76319,909.423828125,10,381.199070024967,38.1199070024967
"LTC_phi1_0_p10",0.03383,0.20298,0,0.76319,884.377967711301,10,462.297416002142,46.2297416002142
"LTC_phi1_0_p10",0.03383,0.20298,0,0.76319,861.470860314524,10,462.297416002142,46.2297416002142
"LTC_phi1_0_p10",0.03383,0.20298,0,0.76319,812.60907504363,10,671.777000479203,67.1777000479203
"LTC_phi1_0_p10",0.03383,0.20298,0,0.76319,800.04295532646,10,704.964973264866,70.4964973264866
"LTC_phi1_0_p10",0.03383,0.20298,0,0.76319,780.922431865828,10,844.698203796373,84.4698203796373
"LTC_phi1_0_p10",0.03383,0.20298,0,0.76319,757.113821138211,10,1183.85477263435,118.385477263435
"LTC_phi1_0_p20",0.03383,0.20298,0,0.76319,900.628626692456,20,220.258124647582,22.0258124647582
"LTC_phi1_0_p20",0.03383,0.20298,0,0.76319,884.79809976247,20,158.107648510359,15.8107648510359
"LTC_phi1_0_p20",0.03383,0.20298,0,0.76319,847.361237488626,20,201.217116650125,20.1217116650125
"LTC_phi1_0_p20",0.03383,0.20298,0,0.76319,806.277056277056,20,283.713225453251,28.3713225453251
"LTC_phi1_0_p20",0.03383,0.20298,0,0.76319,787.193575655114,20,295.940353668625,29.5940353668625
"LTC_phi1_0_p20",0.03383,0.20298,0,0.76319,751.614205004036,20,409.793858120922,40.9793858120922
"LTC_phi1_0_p20",0.03383,0.20298,0,0.76319,740.85123309467,20,804.931942970874,80.4931942970874
"LTC_phi1_0_p20",0.03383,0.20298,0,0.76319,729.819749216301,20,947.195858703538,94.7195858703538
"LTC_phi1_0_p20",0.03383,0.20298,0,0.76319,704.158790170132,20,1205.45730321692,120.545730321692
"LTC_phi2_0_p20",0.065445,0.196335,0,0.73822,826.67731629393,20,98.5635500623392,9.85635500623392
"LTC_phi2_0_p20",0.065445,0.196335,0,0.73822,819.199457259159,20,110.202210315308,11.0202210315308
"LTC_phi2_0_p20",0.065445,0.196335,0,0.73822,757.528230865747,20,330.256206028258,33.0256206028258
"LTC_phi2_0_p20",0.065445,0.196335,0,0.73822,719.320889594917,20,645.200645980872,64.5200645980872
