H + O2 <=> O + OH	0
O + H2 <=> H + OH:A	1
O + H2 <=> H + OH:B	2
OH + H2 <=> H + H2O	3
2 OH <=> O + H2O	4
O + H + M <=> OH + M	11
H + O2 (+M) <=> HO2 (+M):Low	14
H + O2 (+M) <=> HO2 (+M):High	14
HO2 + H <=> H2 + O2 	15
HO2 + H <=> 2 OH	16
HO2 + OH <=> H2O + O2:A	19
HO2 + OH <=> H2O + O2:B	20
2 HO2 <=> H2O2 + O2:A	21
2 HO2 <=> H2O2 + O2:B	22
H2O2 + H <=> OH + H2O	24
H2O2 + H <=> HO2 + H2	25
CO + O (+M) <=> CO2 (+M):Low	29
CO + O (+M) <=> CO2 (+M):High	29
CO + OH <=> H + CO2:A	31
CO + OH <=> H + CO2:B	32
CO + HO2 <=> OH + CO2	33
HCO + M <=> H + CO + M	34
HCO + H <=> H2 + CO	35
HCO + O2 <=> HO2 + CO	39
H2O2 + OH <=> H2O + HO2:A	27
H2O2 + OH <=> H2O + HO2:B	28
