T(k)	f_exp	Value
2070.0	184.99999999999994	165.4142282286851
2160.0	142.99999999999997	133.7132044117503
2215.0	136.99999999999994	119.20585895841566
2215.0	130.0	119.20585895841566
2325.0	97.99999999999997	95.26586049073849
2375.0	99.99999999999997	86.71806059790975
2475.0	79.99999999999999	72.1839125951552
2565.0	74.99999999999999	62.58778081922268
2625.0	60.0	56.31056871735162
2700.0	63.000000000000014	50.37965802692237
2740.0	49.999999999999986	46.98279861666097
2820.0	48.0	42.53672867440147
2870.0	45.00000000000001	39.078484620810514
