#1000/T,Tig,K,us,sigma,P = 42bar
0.90933,0.28411,1099.71077606589,284.11,28.411,
0.978,0.77196,1022.49488752556,771.96,77.196,
1.06933,1.04563,935.165009865991,1045.63,104.563,
1.08133,1.08364,924.787067777644,1083.64,108.364,
1.14,0.81443,877.19298245614,814.43,81.443,
1.21067,0.78587,825.988915228758,785.87,78.587,
1.28133,1.06447,780.439075023608,1064.47,106.447,
1.31067,1.44183,762.968558065722,1441.83,144.183,
1.33067,1.66315,751.50112349418,1663.15,166.315,
1.40133,3.05138,713.60778688817,3051.38,305.138,
