#1000/T,Tig,T,us,sigma
0.75105,0.06732,1331.46927634645,67.32,6.732
0.81199,0.17856,1231.54226037266,178.56,17.856
0.8282,0.22787,1207.43781695243,227.87,22.787
0.88201,0.46535,1133.77399349214,465.35,46.535
0.88979,0.5588,1123.86068622934,558.8,55.88
0.98768,1.3223,1012.47367568443,1322.3,132.23
0.99935,1.82545,1000.6504227748,1825.45,182.545
0.9799,1.99266,1020.51229717318,1992.66,199.266
1.0201,2.97368,980.296049406921,2973.68,297.368
1.03047,3.44818,970.430968393063,3448.18,344.818
1.08947,4.10005,917.877500068841,4100.05,410.005
1.10891,4.06272,901.786438935531,4062.72,406.272
1.19968,2.10798,833.555614830622,2107.98,210.798
1.23015,2.29857,812.908994838028,2298.57,229.857
1.32998,2.59144,751.891005879788,2591.44,259.144
1.39028,5.62461,719.279569583106,5624.61,562.461
1.45057,7.23385,689.384173118154,7233.85,723.385
