#1000/T,Tig,K,us,sigma
0.84333,0.32481,1185.77543784758,324.81,32.481
0.944,1.54854,1059.32203389831,1548.54,154.854
0.98267,2.74148,1017.63562538797,2741.48,274.148
0.99667,3.16228,1003.34112594941,3162.28,316.228
1.15067,7.85867,869.05889612139,7858.67,785.867
1.18667,7.58307,842.694262094769,7583.07,758.307
1.26733,5.35405,789.060465703487,5354.05,535.405
1.28933,5.16628,775.596627705863,5166.28,516.628
1.32867,5.40204,752.6323315797,5402.04,540.204
1.43067,8.66931,698.973208356924,8669.31,866.931
1.47333,10.74009,678.734567272777,10740.09,1074.009
